# Pathway	PCMP_EBneg1.cat.filtered2_Abundance	PCMP_EBneg2.cat.filtered2_Abundance	PCMP_L001.cat.filtered2_Abundance	PCMP_L002.cat.filtered2_Abundance	PCMP_L006.cat.filtered2_Abundance	PCMP_L011.cat.filtered2_Abundance	PCMP_L018.cat.filtered2_Abundance	PCMP_L039.cat.filtered2_Abundance	PCMP_L041.cat.filtered2_Abundance	PCMP_L051.cat.filtered2_Abundance	PCMP_L063.cat.filtered2_Abundance	PCMP_L066.cat.filtered2_Abundance	PCMP_L069.cat.filtered2_Abundance	PCMP_L077.cat.filtered2_Abundance	PCMP_L079.cat.filtered2_Abundance	PCMP_L089.cat.filtered2_Abundance	PCMP_L1.cat.filtered2_Abundance	PCMP_L104.cat.filtered2_Abundance	PCMP_L108.cat.filtered2_Abundance	PCMP_L111.cat.filtered2_Abundance	PCMP_L113.cat.filtered2_Abundance	PCMP_L117.cat.filtered2_Abundance	PCMP_L118.cat.filtered2_Abundance	PCMP_NL087.cat.filtered2_Abundance	PCMP_NL090.cat.filtered2_Abundance	PCMP_NL091.cat.filtered2_Abundance	PCMP_NL093.cat.filtered2_Abundance	PCMP_NL099.cat.filtered2_Abundance	PCMP_NL100.cat.filtered2_Abundance	PCMP_NL101.cat.filtered2_Abundance	PCMP_NL102.cat.filtered2_Abundance	PCMP_NL105.cat.filtered2_Abundance	PCMP_NL108.cat.filtered2_Abundance	PCMP_NL114.cat.filtered2_Abundance	PCMP_NL119.cat.filtered2_Abundance	PCMP_NL121.cat.filtered2_Abundance	PCMP_NL122.cat.filtered2_Abundance	PCMP_NL125.cat.filtered2_Abundance	PCMP_NL128.cat.filtered2_Abundance	PCMP_NL129.cat.filtered2_Abundance	PCMP_NL130.cat.filtered2_Abundance	PCMP_NL131.cat.filtered2_Abundance	PCMP_NL132.cat.filtered2_Abundance	PCMP_T1.cat.filtered2_Abundance	PCMP_X2.cat.filtered2_Abundance	PCMP_Z2.cat.filtered2_Abundance	PCMP_vibriolambda1.cat.filtered2_Abundance	PCMP_vibriolambda2.cat.filtered2_Abundance
PWY66-399: gluconeogenesis III	0	0	1057	882	1225	116	128	381	516	681	132	1640	846	1040	892	1285	901	2890	1356	1328	841	34	1402	1568	371	1581	3257	56	1494	2066	1857	616	1538	471	1324	2799	2735	683	769	2038	213	213	2711	1100	797	834	0	0
PWY66-400: glycolysis VI (metazoan)	0	0	3168	3112	2330	6297	1837	3120	5351	4396	4547	5946	2983	5250	5099	5033	5358	4330	5394	3325	5608	2408	4803	5054	2663	5150	10254	67	4911	6639	6345	3364	3845	2222	4154	6960	4163	2511	1918	5058	880	640	5986	6225	4784	5469	0	0
PWY66-409: superpathway of purine nucleotide salvage	0	0	203	308	1327	672	705	845	1203	148	717	457	459	322	253	184	4692	1210	1105	549	551	593	1188	471	76	1739	1176	37	772	1585	272	20	438	41	498	502	1255	187	456	296	184	168	985	4441	3399	3972	1800	0
PWY66-422: D-galactose degradation V (Leloir pathway)	0	6	1311	417	636	1361	1673	3195	515	442	1966	1485	358	294	571	621	4417	2939	1991	1706	1912	1055	4282	420	192	2647	2622	31	845	4343	913	139	696	700	331	1518	1572	214	1880	1020	62	129	2204	4151	3333	3635	1429	0
PWYG-321: mycolate biosynthesis	27	221	977	817	825	1685	850	1365	1478	1715	976	2615	2127	1337	2999	1005	5543	1909	1853	2386	2085	556	2181	1321	897	2156	3247	15	1882	2332	2572	187	1104	996	1374	1372	1287	851	676	683	0	191	1467	6216	4700	5381	0	0
PYRIDNUCSAL-PWY: NAD salvage pathway I	0	0	272	190	213	377	345	311	163	641	259	920	569	234	938	266	2621	647	494	644	262	146	640	311	236	688	818	0	569	618	602	93	313	267	299	497	384	159	258	289	0	69	293	2697	2152	2488	0	0
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	26	132	1309	1452	1035	1759	1221	1458	2084	2444	1591	3588	2761	2027	3401	1194	1624	2462	2023	2532	1987	1089	2188	1781	1328	1619	3977	24	2620	2314	3344	1667	1663	1062	2145	2443	1728	1187	1006	1886	48	262	2548	1878	1587	1576	0	0
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	0	97	400	1184	384	1614	50	444	2588	2096	1421	2184	1666	1483	2444	327	2575	2125	2296	806	2257	1507	1293	1824	2088	965	5163	0	2240	1140	2603	537	1497	895	1024	2540	1139	1245	53	1743	35	197	1199	2740	2087	2611	1393	0
REDCITCYC: TCA cycle VIII (helicobacter)	0	0	254	230	312	185	40	155	138	357	42	678	211	643	263	531	1774	290	375	414	376	45	31	963	254	414	915	0	383	130	716	15	523	204	304	926	714	181	165	286	0	64	119	2113	1684	1729	0	0
RHAMCAT-PWY: L-rhamnose degradation I	0	0	556	230	297	2802	341	934	191	91	2039	566	56	75	235	180	3755	1206	1515	547	2003	787	1752	40	23	1637	492	4	561	3080	504	94	86	190	6	220	283	9	465	177	0	52	796	3989	3234	3656	0	0
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	0	0	2610	2025	1642	2898	2723	2841	2648	3163	2379	4027	2510	2517	3799	2424	3126	2206	2679	2944	2896	1026	3193	2799	1871	2656	5285	47	3380	3535	3310	1799	2201	1372	2690	3613	2383	1478	1983	2764	53	434	2869	3533	2694	3023	0	0
RUMP-PWY: formaldehyde oxidation I	0	0	0	0	0	28	0	0	0	0	3	9	0	0	0	0	0	109	20	38	41	0	87	14	0	39	22	0	0	0	0	0	0	0	0	51	0	0	48	9	0	0	14	0	0	0	0	0
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0	13	217	71	293	239	197	501	175	148	316	196	190	52	218	92	180	1125	494	640	361	744	812	180	78	989	427	0	338	849	197	84	73	63	15	162	152	34	258	87	25	53	289	288	250	257	13	0
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	22	199	975	1311	1038	1230	1017	1642	3487	2733	1833	3085	2940	2089	3861	1726	2960	2437	2839	2238	2437	1099	2447	2181	2111	1815	6114	58	2736	3068	4011	763	1926	1072	1949	3560	2443	1577	1043	2424	64	256	1619	3188	2475	2833	1504	0
SO4ASSIM-PWY: sulfate reduction I (assimilatory)	0	19	131	24	99	137	200	352	2	4	509	134	12	45	31	208	3511	1405	54	382	49	156	400	65	56	998	272	20	324	596	155	8	76	34	12	45	421	10	398	60	147	0	536	4117	3022	3581	1956	0
SPHINGOLIPID-SYN-PWY: sphingolipid biosynthesis (yeast)	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCSYN-PWY: sucrose biosynthesis I (from photosynthesis)	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	42	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	0	37	253	52	198	255	349	573	5	8	803	283	27	99	68	371	3257	1759	116	660	105	231	719	141	114	1243	565	30	581	977	320	18	158	72	26	99	747	23	551	128	97	0	880	3596	2718	3112	1533	0
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	0	43	194	22	441	97	22	137	40	260	100	73	101	248	256	83	3522	57	92	159	138	98	13	363	29	723	701	30	229	16	340	0	323	43	6	619	651	88	60	309	68	36	311	3549	2656	3087	45	0
TCA: TCA cycle I (prokaryotic)	0	53	790	424	672	918	645	1354	226	562	451	1538	340	1006	653	917	4617	905	934	976	1057	192	1247	1201	377	1384	1758	57	693	640	1035	341	902	480	692	1533	1700	435	386	1203	192	139	1264	4441	3362	3907	60	0
TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis	0	0	96	26	212	75	0	16	62	182	33	173	27	48	207	111	34	123	125	132	45	0	69	218	107	0	7	0	132	77	84	63	145	72	27	343	167	193	32	102	0	14	258	34	12	27	0	0
THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I	0	0	29	102	576	314	147	0	104	304	448	328	245	77	382	0	3177	471	412	637	416	510	81	561	0	1921	1534	0	0	87	648	0	286	128	29	212	235	0	0	46	0	0	0	3468	2615	3021	0	0
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	0	0	953	1047	1155	1314	664	847	1523	1833	1308	2489	1687	1831	2233	3219	863	1015	1172	1542	1197	571	1451	2006	1092	1361	3256	7	2100	2095	1934	1683	1246	771	2386	1772	1364	616	741	1899	496	271	2476	1128	805	1008	0	0
THREOCAT-PWY: superpathway of L-threonine metabolism	0	0	0	0	3	6	0	0	0	0	11	0	0	0	0	0	251	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	349	498	0	0
THRESYN-PWY: superpathway of L-threonine biosynthesis	16	142	1568	1068	1493	1073	1100	2780	1695	1591	1277	2808	965	1980	1816	1922	4686	2764	1798	1725	1872	551	2003	2291	822	2298	3638	58	1619	3052	2224	1723	1807	964	1929	3244	2134	920	1200	2055	248	279	3034	4975	3994	4445	1752	0
TRIGLSYN-PWY: diacylglycerol and triacylglycerol biosynthesis	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNA-CHARGING-PWY: tRNA charging	0	26	3757	2762	2887	3703	2734	3545	6818	6039	2867	7373	5585	7247	6984	4186	3067	5038	5001	4712	4356	1728	4581	6717	3739	3924	12730	58	5915	5722	8856	5085	4734	3246	4990	8064	4411	3769	2461	6717	540	659	6645	3049	2540	2779	0	0
TRPSYN-PWY: L-tryptophan biosynthesis	6	26	1486	597	581	3320	1639	2398	720	323	2280	1795	800	571	841	902	2589	3351	2352	1866	2941	1194	3712	730	126	2735	1646	75	1325	4077	1198	225	780	514	418	931	1828	150	1664	566	49	173	1748	3054	2519	2855	1452	0
TYRFUMCAT-PWY: L-tyrosine degradation I	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	12	21	0	0	0	0	0	0	0	0	0	0
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic)	0	0	0	0	67	31	0	0	0	0	28	7	0	0	0	0	261	0	0	22	0	29	0	26	0	306	88	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	353	285	295	0	0
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	24	104	1109	976	1851	1007	460	1009	2348	2236	401	2363	1595	3255	2305	2116	4895	1499	1622	1080	917	609	1069	3420	1151	1344	5143	70	1444	1483	3634	1278	1916	1280	2242	3888	2366	1468	839	3013	734	273	2433	5115	4054	4600	1705	0
UNINTEGRATED	49147	348415	3273614	2308273	2076704	5654693	3217144	4695050	3728658	2579932	4236467	4705567	2488607	2943465	3207205	3894071	11713040	4518914	5384143	3353449	6423636	3018191	5951422	2734607	1762549	7284539	6877617	62569	3855745	7365515	4056912	2725528	2589317	1662457	2510657	3764839	3082184	1307634	2674152	2693296	613993	584292	4929817	12581323	9739646	11141486	9043199	0
UNMAPPED	17447	153879	2230126	1177910	1532593	1840584	2805747	2394222	2426611	2936578	1696391	4245279	2699593	3746413	3633771	2166060	1795672	5143085	2984778	3344489	2449008	799734	3555193	3563836	2015078	2686152	6189162	92508	3094911	3881749	4738819	1917622	3010136	2814793	2836876	4257081	3373279	2578841	2279645	4000972	287674	427519	4460847	2046733	1522082	1767894	1285842	0
URDEGR-PWY: superpathway of allantoin degradation in plants	0	0	12	0	0	5	11	18	0	0	18	14	3	0	0	12	0	120	24	27	0	13	35	0	0	90	0	0	5	34	4	0	5	8	0	17	11	0	12	0	0	0	27	0	0	0	0	0
URSIN-PWY: ureide biosynthesis	0	0	0	0	18	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VALDEG-PWY: L-valine degradation I	0	0	15	0	167	24	0	9	7	5	2	21	8	23	26	69	0	17	53	17	0	0	15	68	30	9	0	0	0	28	19	39	5	14	0	0	141	10	0	7	6	0	0	4	0	4	0	0
VALSYN-PWY: L-valine biosynthesis	29	290	4176	948	918	4582	4382	5679	785	743	3605	2759	653	1047	1374	2029	5549	5855	3893	3085	4734	2252	6253	1995	452	5380	2658	107	2161	7668	2410	514	1363	1033	788	3052	2839	420	3299	1478	288	271	3860	5897	4756	5183	2126	0
